"Group","Company Name","Website","Country","Industry","Employee Range","Founder / Managing Director","Public Email","Contact Page","LinkedIn","AI Adoption Signals","Reason To Buy Zwima AI","Estimated Monthly Spend","Ease Of Contact Score","Buying Probability Score","Priority"
"Group A","KR Automation e.K.","https://www.kr-automation.de","Germany","Automation / Technical Trading","20-49","Public management not confirmed","","https://www.kr-automation.de/kontakt","https://www.linkedin.com/search/results/companies/?keywords=KR%20Automation","Online-shop technical signals and automation services","AI can support product selection, offer drafts and customer service replies","€50","66","64","Warm"
"Group C","PromoTraffic","https://promotraffic.pl","Poland","Digital Marketing Agency","50-100","Public management not confirmed","","https://promotraffic.pl/kontakt/","https://www.linkedin.com/company/promotraffic","Performance agency with content, ads and analytics workload","AI for ad variants, SEO content, reports and sales proposals","€100","58","64","Warm"
"Group B","DeeZee","https://deezee.eu","Poland","Fashion E-commerce","50-100","Public management not confirmed","","https://deezee.eu/contact","https://www.linkedin.com/company/deezee","Cross-border fashion catalog with heavy product and social content","AI for product text, translation, ad copy and support replies","€100","56","64","Warm"
"Group A","BauPunkt Hain","https://www.baupunkt-hain.de","Germany","Tool / Machinery Trading","20-49","Hain family / public management","","https://www.baupunkt-hain.de/Kontakt/","https://www.linkedin.com/search/results/companies/?keywords=BauPunkt%20Hain","Owner-led online and offline specialist with 150k articles and service workshop","AI can write product copy, support answers, rental descriptions and quote emails","€50","64","63","Warm"
"Group B","Flamingueo","https://flamingueo.com","Spain","DTC Accessories E-commerce","20-50","Public management not confirmed","","https://flamingueo.com/pages/contact","https://www.linkedin.com/company/flamingueo","Social commerce and multilingual product-content workload","AI for TikTok/social copy, product descriptions, ads and support","€50","56","63","Warm"
"Group A","WERKTEC GmbH","https://werktec-gmbh.de","Germany","Tool Trading","5-20","Barbara Sonneborn","","https://werktec-gmbh.de/kontakt/","https://www.linkedin.com/search/results/companies/?keywords=WERKTEC%20GmbH","Owner-led tool specialist with website and service/contact workflow","AI can draft offers, customer replies, basic marketing text and supplier translations","€50","66","62","Warm"
"Group B","A-dam Underwear","https://a-dam.com","Netherlands","DTC Apparel E-commerce","10-50","Public management not confirmed","","https://a-dam.com/pages/contact","https://www.linkedin.com/company/a-dam-underwear","International DTC product and brand content workload","AI for product copy, translations, social posts and support","€50","54","62","Warm"
"Group A","Midesco Handelsgesellschaft für Industriebedarf mbH","https://www.wlw.de/de/firma/midesco-handelsgesellschaft-fuer-industriebedarf-mbh-335211","Germany","Industrial Trading","5-9","Public management not confirmed","","https://www.wlw.de/de/firma/midesco-handelsgesellschaft-fuer-industriebedarf-mbh-335211","https://www.linkedin.com/search/results/companies/?keywords=Midesco%20Industriebedarf","Small distributor with industrial goods sales workflow","AI can support supplier communication, product lookup, quote text and translations","€50","58","61","Warm"
"Group B","Meller Brand","https://mellerbrand.com","Spain","DTC Accessories E-commerce","20-50","Public management not confirmed","","https://mellerbrand.com/pages/contact","https://www.linkedin.com/company/meller-brand","International DTC catalog and social-commerce needs","AI for product copy, translation, ads and support templates","€50","52","61","Warm"
"Group A","FRICKE Werkzeughandel GmbH & Co. KG","https://www.fricke-werkzeughandel.de","Germany","Tool Trading","20-49","Fricke family / public management","","https://www.fricke-werkzeughandel.de/kontakt","https://www.linkedin.com/search/results/companies/?keywords=Werkzeughandel%20Fricke","Family tool dealer expanding online assortment","AI can create product copy, customer replies and marketing content","€50","58","60","Cold"
"Group A","Industriebedarf Weber","https://www.europages.de/INDUSTRIEBEDARF-WEBER/00000005452501-001.html","Germany","Industrial Supply / Surface Materials","5-9","Owner-led / public management not confirmed","","https://www.europages.de/INDUSTRIEBEDARF-WEBER/00000005452501-001.html","https://www.linkedin.com/search/results/companies/?keywords=Industriebedarf%20Weber","Small distributor profile and digital directory presence","AI can support customer replies, supplier translations and product text","€50","54","58","Cold"
"Group B","Balzac Paris","https://balzac-paris.com","France","DTC Fashion E-commerce","50-100","Public management not confirmed","","https://balzac-paris.com/pages/contact","https://www.linkedin.com/company/balzac-paris","DTC brand with multilingual product/content workload","AI for product descriptions, social copy, email and support","€100","48","58","Cold"
"Group A","AUTKOM GmbH","https://www.autkom.de","Germany","Automation / Engineering Services","20-49","Public management not confirmed","","https://www.autkom.de/kontakt","https://www.linkedin.com/search/results/companies/?keywords=AUTKOM%20GmbH","Automation project and software-development services","AI can support project docs, technical proposals and knowledge-base content","€100","50","57","Cold"
